country_code,sex,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AT,Male,8.5,8.3,8.9,8.9,8.4,7.9,8.2,7.6,7.5,7.7
BE,Male,10.4,9.8,10.6,10.8,11.0,11.2,10.3,10.4,10.8,10.5
BG,Male,8.9,8.6,8.7,8.7,8.7,8.7,9.2,8.4,9.2,9.2
CH,Male,11.5,12.7,13.6,10.6,10.4,10.3,10.1,10.9,10.6,11.2
CY,Male,9.7,8.0,8.8,9.5,10.3,8.4,11.2,9.5,8.1,8.1
CZ,Male,8.5,8.4,8.3,8.5,8.5,8.0,8.4,7.6,8.1,8.0
DE,Male,6.9,6.6,6.6,6.9,6.8,11.4,11.5,11.4,11.5,11.5
DK,Male,11.8,12.7,10.7,11.4,11.0,11.0,11.5,11.1,10.8,10.7
EE,Male,5.3,5.6,5.4,5.1,4.9,5.3,5.5,5.7,5.6,6.4
EL,Male,8.7,9.0,8.6,8.0,7.7,7.9,8.0,8.1,7.4,8.1
ES,Male,9.6,9.8,9.2,9.7,10.1,9.5,10.4,12.3,11.5,12.4
EU27_2020,Male,8.4,8.2,8.1,8.3,8.4,9.2,9.7,9.7,9.8,10.2
FR,Male,9.0,9.7,9.4,9.9,10.4,9.8,9.5,9.3,10.2,10.4
HR,Male,6.6,7.4,7.7,5.5,6.0,4.7,5.2,5.0,5.0,4.6
HU,Male,5.4,6.0,6.5,6.3,6.2,5.9,6.7,6.7,6.9,6.7
IE,Male,10.9,10.9,10.9,10.9,11.4,11.4,12.0,12.5,12.0,13.1
LT,Male,6.4,6.2,5.6,5.9,6.1,5.0,5.6,5.7,5.6,6.0
LU,Male,10.5,11.5,11.6,10.9,11.3,10.7,9.5,9.0,9.1,10.1
LV,Male,4.8,4.7,5.3,4.0,4.0,4.1,4.4,4.1,4.2,4.5
MT,Male,12.0,11.8,12.5,12.8,13.2,13.3,12.8,13.6,14.0,14.4
NL,Male,9.4,10.4,10.0,9.5,10.7,10.5,10.3,10.1,9.9,10.2
NO,Male,14.5,15.9,15.3,15.0,15.3,15.3,15.4,15.8,15.3,15.8
PL,Male,6.7,7.6,7.4,7.2,7.5,7.6,8.2,8.3,8.2,8.1
PT,Male,7.1,7.8,9.9,9.6,6.9,7.0,7.7,7.9,7.8,7.9
RO,Male,5.9,5.5,5.7,5.9,6.0,6.3,6.2,5.9,6.3,6.7
SI,Male,6.6,6.2,7.3,7.2,7.8,8.2,8.4,7.2,7.5,8.7
SK,Male,3.3,3.5,3.5,4.2,4.3,4.1,4.5,3.8,4.0,4.6